name,specialization,sub_specialization,treats,experience,rating,qualification,hospital,city,state,schedule_days,consultation_time,consultation_fee,contact,languages
Dr. Naresh Trehan,Cardiology,"Cardiac Surgery, Minimally Invasive Surgery","Coronary Artery Disease, Heart Valve Disease, Complex Cardiac Surgery, Redo Bypass",40+ Years,4.9,"MBBS, MS, FRCS",Medanta - The Medicity,Gurgaon,Haryana,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 2000,0124-4141414,"English, Hindi"
Dr. Devi Prasad Shetty,Cardiology,"Cardiac Surgery, Pediatric Cardiac Care, Heart Transplants","Heart Bypass Surgery, Valve Replacement, Pediatric Heart Disease, Heart Failure",40+ Years,4.9,"MBBS, MS, FRCS",Narayana Health,Bangalore,Karnataka,"Tue, Thu, Sat",9:00 AM - 1:00 PM,Rs. 1500,080-71222222,"English, Hindi, Kannada"
Dr. Manjinder Sandhu,Cardiology,Interventional Cardiology,"Angioplasty, Coronary Artery Disease, Heart Attack, Arrhythmia",27+ Years,4.7,"MBBS, MD, DM Cardiology, DNB",Fortis Memorial Research Institute,Gurugram,Haryana,"Mon, Wed, Fri, Sat",11:00 AM - 3:00 PM,Rs. 1800,0124-4962200,"English, Hindi, Punjabi"
Dr. Prem Ratan Degawat,Cardiology,"Complex Interventional Cardiology, TAVI","TAVI Surgery, Complex Angioplasty, Valvuloplasty, FFR, IVUS",12+ Years,4.6,"MBBS, MD, DM Cardiology",Yashoda Hospitals,Hyderabad,Telangana,Mon-Sat,10:00 AM - 4:00 PM,Rs. 1200,040-44886688,"English, Hindi, Telugu"
Dr. Sanjeev Gera,Cardiology,Interventional Cardiology,"Heart Disease Prevention, Angioplasty, Cardiac Interventions",20+ Years,4.7,"MBBS, MD, DM Cardiology",Fortis Hospital,Noida,Uttar Pradesh,"Tue, Thu, Sat",2:00 PM - 6:00 PM,Rs. 1500,0120-4707070,"English, Hindi"
Dr. Ambrish Mithal,Endocrinology,Diabetes and Endocrinology,"Diabetes Type 1 & 2, Thyroid Disorders, Obesity, Hormonal Disorders",35+ Years,4.8,"MBBS, MD, DM Endocrinology",Max Super Speciality Hospital,New Delhi,Delhi,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 2000,011-26515050,"English, Hindi"
Dr. Sanjay Gupta,Endocrinology,"Diabetes Care, Diabetic Foot","Diabetes Management, Diabetic Complications, Endocrine Disorders",35+ Years,4.8,"MBBS, MD, DNB, Dip. Diabetology",Fortis Hospital,New Delhi,Delhi,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 1800,011-47135000,"English, Hindi"
Dr. Dheeraj Kapoor,Endocrinology,Diabetes and Metabolism,"Diabetes Complications, Cardiovascular Risk, Kidney Disease, Neuropathy",25+ Years,4.7,"MBBS, MD, DM Endocrinology",Artemis Hospital,Gurugram,Haryana,"Mon, Wed, Fri",9:00 AM - 1:00 PM,Rs. 1500,0124-4511111,"English, Hindi, Punjabi"
Dr. Vinit Suri,Neurology,"Stroke, Epilepsy, Movement Disorders","Stroke Management, Epilepsy, Parkinson's Disease, Migraine",25+ Years,4.8,"MBBS, MD, DM Neurology",Indraprastha Apollo Hospital,New Delhi,Delhi,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 1500,011-26825000,"English, Hindi"
Dr. Praveen Gupta,Neurology,"Stroke, Neurocritical Care","Acute Stroke, Brain Hemorrhage, Neurological Emergencies",18+ Years,4.7,"MBBS, MD, DM Neurology",Fortis Hospital,Gurugram,Haryana,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 1500,0124-4962200,"English, Hindi"
Dr. Mohana Rao Patibandla,Neurology,"Neurosurgery, Brain & Spine","Brain Tumors, Spine Surgery, Epilepsy Surgery, Minimally Invasive Surgery",20+ Years,4.8,"MBBS, MS, MCh Neurosurgery",Dr. Rao's Hospital,Guntur,Andhra Pradesh,Mon-Sat,9:00 AM - 5:00 PM,Rs. 1000,0863-2329999,"English, Hindi, Telugu"
Dr. Ashok Rajgopal,Orthopedics,"Joint Replacement, Knee Surgery","Total Knee Replacement, Hip Replacement, Arthritis, Minimally Invasive Surgery",35+ Years,4.9,"MBBS, MS Orthopedics",Medanta - The Medicity,Gurgaon,Haryana,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 2000,0124-4141414,"English, Hindi"
Dr. Raju Vaishya,Orthopedics,"Joint Replacement, Arthroscopy","Knee & Hip Arthroplasty, Shoulder Arthroscopy, Ligament Injuries",30+ Years,4.8,"MBBS, MS Orthopedics, FRCS",Indraprastha Apollo Hospital,New Delhi,Delhi,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 1800,011-26825000,"English, Hindi"
Dr. Yash Gulati,Orthopedics,"Hip, Knee & Spine Surgery","Total Joint Replacement, Spine Surgery, Navigation-Guided Surgery",32+ Years,4.8,"MBBS, MS Orthopedics",Indraprastha Apollo Hospital,New Delhi,Delhi,"Mon, Wed, Fri",9:00 AM - 1:00 PM,Rs. 2000,011-26825000,"English, Hindi"
Dr. Gourdas Choudhuri,Gastroenterology,Liver & GI Diseases,"Liver Disease, IBD, Endoscopy, ERCP, Pancreatic Disorders",40+ Years,4.9,"MBBS, MD, DM Gastroenterology",Fortis Memorial Research Institute,Gurugram,Haryana,"Mon, Wed, Fri",10:00 AM - 2:00 PM,Rs. 2500,0124-4962200,"English, Hindi, Bengali"
Dr. Arvind Khurana,Gastroenterology,Medical Gastroenterology,"GI Bleeding, Liver Cirrhosis, Hepatitis, Gastritis, GERD",32+ Years,4.7,"MBBS, MD, DM, DNB",Fortis Memorial Research Institute,Gurugram,Haryana,"Tue, Thu, Sat",11:00 AM - 3:00 PM,Rs. 2000,0124-4962200,"English, Hindi"
Dr. R. Kannan,Gastroenterology,Surgical Gastroenterology,"Liver, Pancreatic & Colorectal Surgery, Minimally Invasive GI Surgery",23+ Years,4.8,"MBBS, MS, MCh Surgical Gastroenterology",Prime Indian Hospital,Chennai,Tamil Nadu,Mon-Fri,9:00 AM - 5:00 PM,Rs. 1500,044-42799900,"English, Tamil, Hindi"
Dr. Akram Syed,Pediatrics,"General Pediatrics, Child Healthcare","Childhood Infections, Growth Disorders, Vaccination, Fever",25+ Years,4.7,"MBBS, MD Pediatrics",Apollo 24|7 Clinic,Bangalore,Karnataka,Mon-Sat,10:00 AM - 6:00 PM,Rs. 699,1860-500-1066,"English, Hindi, Kannada, Urdu"
